HS|"id","nm"
FH|"11.15.03","Seunagan Timur"
GH|"11.15.04","Beutong"
HH|"11.15.05","Darul Makmur"
IH|"11.15.06","Suka Makmue"
JH|"11.15.07","Kuala Pesisir"
KH|"11.15.08","Tadu Raya"
LH|"11.15.09","Tripa Makmur"
JI|"11.15.10","Beutong Ateuh Banggalang"
IL|"11.16.01","Manyak Payed"
JL|"11.16.02","Bendahara"
KL|"11.16.03","Karang Baru"
LL|"11.16.04","Seruway"
ML|"11.16.05","Kota Kualasinpang"
NL|"11.16.06","Kejuruan Muda"
OL|"11.16.07","Tamiang Hulu"
PL|"11.16.08","Rantau"
QL|"11.16.09","Banda Mulia"
OM|"11.16.10","Bandar Pusaka"
PM|"11.16.11","Tenggulun"
QM|"11.16.12","Sekerak"
NP|"11.17.01","Pintu Rime Gayo"
OP|"11.17.02","Permata"
PP|"11.17.03","Syiah Utama"
QP|"11.17.04","Bandar"
RP|"11.17.05","Bukit"
SP|"11.17.06","Wih Pesam"
TP|"11.17.07","Timang gajah"
UP|"11.17.08","Bener Kelipah"
VP|"11.17.09","Mesidah"
TQ|"11.17.10","Gajah Putih"
ST|"11.18.01","Meureudu"
TT|"11.18.02","Ulim"
UT|"11.18.03","Jangka Buya"
VT|"11.18.04","Bandar Dua"
WT|"11.18.05","Meurah Dua"
XT|"11.18.06","Bandar Baru"
YT|"11.18.07","Panteraja"
ZT|"11.18.08","Trienggadeng"
LO|"11.71.01","Baiturrahman"
MO|"11.71.02","Kuta Alam"
NO|"11.71.03","Meuraxa"
OO|"11.71.04","Syiah Kuala"
PO|"11.71.05","Lueng Bata"
QO|"11.71.06","Kuta Raja"
RO|"11.71.07","Banda Raya"
SO|"11.71.08","Jaya Baru"
TO|"11.71.09","Ulee Kareng"
QS|"11.72.01","Sukakarya"
RS|"11.72.02","Sukajaya"
SS|"11.72.03","Sukamakmue"
VW|"11.73.01","Muara Dua"
WW|"11.73.02","Banda Sakti"
XW|"11.73.03","Blang Mangat"
YW|"11.73.04","Muara Satu"
AB|"11.74.01","Langsa Timur"
BB|"11.74.02","Langsa Barat"
CB|"11.74.03","Langsa Kota"
DB|"11.74.04","Langsa Lama"
EB|"11.74.05","Langsa Baro"
FF|"11.75.01","Simpang Kiri"
GF|"11.75.02","Penanggalan"
HF|"11.75.03","Rundeng"
IF|"11.75.04","Sultan Daulat"
JF|"11.75.05","Longkib"
ZW|"12.01.01","Barus"
AX|"12.01.02","Sorkam"
BX|"12.01.03","Pandan"
CX|"12.01.04","Pinangsori"
DX|"12.01.05","Manduamas"
EX|"12.01.06","Kolang"
FX|"12.01.07","Tapian Nauli"
GX|"12.01.08","Sibabangun"
HX|"12.01.09","Sosorgadong"
FY|"12.01.10","Sorkam Barat"
GY|"12.01.11","Sirandorung"
HY|"12.01.12","Andam Dewi"
IY|"12.01.13","Sitahuis"
JY|"12.01.14","Tukka"
KY|"12.01.15","Badiri"
LY|"12.01.16","Pasaribu Tobing"
MY|"12.01.17","Barus Utara"
NY|"12.01.18","Suka Bangun"
OY|"12.01.19","Lumut"
MZ|"12.01.20","Sarudik"
EB|"12.02.01","Tarutung"
FB|"12.02.02","Siatas Barita"
GB|"12.02.03","Adiankoting"
HB|"12.02.04","Sipoholon"
IB|"12.02.05","Pahae Julu"
JB|"12.02.06","Pahae Jae"
KB|"12.02.07","Simangumban"
LB|"12.02.08","Purbatua"
MB|"12.02.09","Siborongborong"
KC|"12.02.10","Pagaran"
LC|"12.02.11","Parmonangan"
MC|"12.02.12","Sipahutar"
NC|"12.02.13","Pangaribuan"
OC|"12.02.14","Garoga"
PC|"12.02.15","Muara"
JF|"12.03.01","Angkola Barat"
KF|"12.03.02","Batang Toru"
LF|"12.03.03","Angkola Timur"
MF|"12.03.04","Sipirok"
NF|"12.03.05","Saipar Dolok Hole"
OF|"12.03.06","Angkola Selatan"
PF|"12.03.07","Batang Angkola"
TG|"12.03.14","Arse"
WH|"12.03.20","Marancar"
XH|"12.03.21","Sayur Matinggi"
YH|"12.03.22","Aek Bilah"
FI|"12.03.29","Muara Batang Toru"
DJ|"12.03.30","Tano Tombangan Angkola"
EJ|"12.03.31","Angkola Sangkunur"
FJ|"12.03.32","Angkola Muara Tais"
SJ|"12.04.05","Hiliduho"
TJ|"12.04.06","Gido"
UK|"12.04.10","Idanogawo"
VK|"12.04.11","Bawolato"
BM|"12.04.20","Hiliserangkai"
CM|"12.04.21","Botomuzoi"
IM|"12.04.27","Ulugawo"
JM|"12.04.28","Ma'u"
KM|"12.04.29","Somolo-molo"
NN|"12.04.35","Sogae'adu"
TN|"12.05.01","Bahorok"
UN|"12.05.02","Salapian"
VN|"12.05.03","Kuala"
WN|"12.05.04","Sei Bingai"
XN|"12.05.05","Binjai"
YN|"12.05.06","Selesai"
ZN|"12.05.07","Stabat"
AO|"12.05.08","Wampu"
BO|"12.05.09","Secanggang"
ZO|"12.05.10","Hinai"
AP|"12.05.11","Tanjung Pura"
BP|"12.05.12","Padang Tualang"
CP|"12.05.13","Gebang"
DP|"12.05.14","Babalan"
EP|"12.05.15","Pangkalan Susu"
FP|"12.05.16","Besitang"
GP|"12.05.17","Sei Lepan"
HP|"12.05.18","Berandan Barat"
IP|"12.05.19","Batang Serangan"
GQ|"12.05.20","Sawit Seberang"
HQ|"12.05.21","Sirapit"
IQ|"12.05.22","Kutambaru"
JQ|"12.05.23","Pematang Jaya"
YR|"12.06.01","Kabanjahe"
ZR|"12.06.02","Berastagi"
AS|"12.06.03","Barusjahe"
BS|"12.06.04","Tigapanah"
CS|"12.06.05","Merek"
DS|"12.06.06","Munte"
ES|"12.06.07","Juhar"
FS|"12.06.08","Tigabinanga"
GS|"12.06.09","Laubaleng"
ET|"12.06.10","Mardingding"
FT|"12.06.11","Payung"
GT|"12.06.12","Simpang Empat"
HT|"12.06.13","Kutabuluh"
IT|"12.06.14","Dolat Rayat"
JT|"12.06.15","Merdeka"
KT|"12.06.16","Naman Teran"
LT|"12.06.17","Tiganderket"
DW|"12.07.01","Gunung Meriah"
EW|"12.07.02","Tanjung Morawa"
FW|"12.07.03","Sibolangit"
GW|"12.07.04","Kutalimbaru"
HW|"12.07.05","Pancur Batu"
IW|"12.07.06","Namo Rambe"
JW|"12.07.07","Biru-Biru"
KW|"12.07.08","Sinembah Tanjung Muda Hilir"
LW|"12.07.09","Bangun Purba"
SX|"12.07.19","Galang"
QY|"12.07.20","Sinembah Tanjung Muda Hulu"
RY|"12.07.21","Patumbak"
SY|"12.07.22","Deli Tua"
TY|"12.07.23","Sunggal"
UY|"12.07.24","Hamparan Perak"
VY|"12.07.25","Labuhan Deli"
WY|"12.07.26","Percut Sei Tuan"
XY|"12.07.27","Batang Kuis"
YY|"12.07.28","Lubuk Pakam"
YZ|"12.07.31","Pagar Merbau"
ZZ|"12.07.32","Pantai Labu"
AA|"12.07.33","Beringin"
IA|"12.08.01","Siantar"
JA|"12.08.02","Gunung Malela"
KA|"12.08.03","Gunung Maligas"
LA|"12.08.04","Panei"
MA|"12.08.05","Panombeian Panei"
NA|"12.08.06","Jorlang Hataran"
OA|"12.08.07","Raya Kahean"
PA|"12.08.08","Bosar Maligas"
QA|"12.08.09","Sidamanik"
OB|"12.08.10","Pamatang Sidamanik"
PB|"12.08.11","Tanah Jawa"
QB|"12.08.12","Hatonduhan"
RB|"12.08.13","Dolok Panribuan"
SB|"12.08.14","Purba"
TB|"12.08.15","Haranggaol Horisan"
UB|"12.08.16","Girsang Sipangan Bolon"
VB|"12.08.17","Dolok Batu Nanggar"
WB|"12.08.18","Hutabayu Raja"
XB|"12.08.19","Jawa Maraja Bah Jambi"
VC|"12.08.20","Dolok Pardamean"
WC|"12.08.21","Pematang Bandar"
XC|"12.08.22","Bandar Huluan"
YC|"12.08.23","Bandar"
ZC|"12.08.24","Bandar Masilam"
AD|"12.08.25","Silimakuta"
BD|"12.08.26","Dolok Silao"
CD|"12.08.27","Silou Kahean"
DD|"12.08.28","Tapian Dolok"
ED|"12.08.29","Raya"
CE|"12.08.30","Ujung Padang"
DE|"12.08.31","Pamatang Silima Huta"
EE|"12.08.32","Dolog Masagal"
UE|"12.09.08","Meranti"
VE|"12.09.09","Air Joman"
TF|"12.09.10","Tanjung Balai"
UF|"12.09.11","Sei Kepayang"
VF|"12.09.12","Simpang Empat"
WF|"12.09.13","Air Batu"
XF|"12.09.14","Pulau Rakyat"
YF|"12.09.15","Bandar Pulau"
ZF|"12.09.16","Buntu Pane"
AG|"12.09.17","Bandar Pasir Mandoge"
BG|"12.09.18","Aek Kuasan"
CG|"12.09.19","Kota Kisaran Barat"
AH|"12.09.20","Kota Kisaran Timur"
BH|"12.09.21","Aek Songsongan"
CH|"12.09.22","Rahuning"
DH|"12.09.23","Sei Dadap"
EH|"12.09.24","Sei Kepayang Barat"
FH|"12.09.25","Sei Kepayang Timur"
GH|"12.09.26","Tinggi Raja"
HH|"12.09.27","Setia Janji"
IH|"12.09.28","Silau Laut"
JH|"12.09.29","Rawang Panca Arga"
HI|"12.09.30","Pulo Bandring"
II|"12.09.31","Teluk Dalam"
JI|"12.09.32","Aek Ledong"
DB|"12.10.01","Rantau Utara"
EB|"12.10.02","Rantau Selatan"
JB|"12.10.07","Bilah Barat"
KB|"12.10.08","Bilah Hilir"
LB|"12.10.09","Bilah Hulu"
NC|"12.10.14","Pangkatan"
RC|"12.10.18","Panai Tengah"
SC|"12.10.19","Panai Hilir"
QD|"12.10.20","Panai Hulu"
IF|"12.11.01","Sidikalang"
JF|"12.11.02","Sumbul"
KF|"12.11.03","Tigalingga"
LF|"12.11.04","Siempat Nempu"
MF|"12.11.05","Silima Pungga Pungga"
NF|"12.11.06","Tanah Pinem"
OF|"12.11.07","Siempat Nempu Hulu"
PF|"12.11.08","Siempat Nempu Hilir"
QF|"12.11.09","Pegagan Hilir"
OG|"12.11.10","Parbuluan"
PG|"12.11.11","Lae Parira"
QG|"12.11.12","Gunung Sitember"
RG|"12.11.13","Berampu"
SG|"12.11.14","Silahisabungan"
TG|"12.11.15","Sitinjo"
NJ|"12.12.01","Balige"
OJ|"12.12.02","Laguboti"
PJ|"12.12.03","Silaen"
QJ|"12.12.04","Habinsaran"
RJ|"12.12.05","Pintu Pohan Meranti"
SJ|"12.12.06","Borbor"
TJ|"12.12.07","Porsea"
UJ|"12.12.08","Ajibata"
VJ|"12.12.09","Lumban Julu"
TK|"12.12.10","Uluan"
CL|"12.12.19","Sigumpar"
AM|"12.12.20","Siantar Narumonda"
BM|"12.12.21","Nassau"
CM|"12.12.22","Tampahan"
DM|"12.12.23","Bonatua Lunasi"
EM|"12.12.24","Parmaksian"
SN|"12.13.01","Panyabungan"
TN|"12.13.02","Panyabungan Utara"
UN|"12.13.03","Panyabungan Timur"
VN|"12.13.04","Panyabungan Selatan"
WN|"12.13.05","Panyabungan Barat"
XN|"12.13.06","Siabu"
YN|"12.13.07","Bukit Malintang"
ZN|"12.13.08","Kotanopan"
AO|"12.13.09","Lembah Sorik Marapi"
YO|"12.13.10","Tambangan"
ZO|"12.13.11","Ulu Pungkut"
AP|"12.13.12","Muara Sipongi"
BP|"12.13.13","Batang Natal"
CP|"12.13.14","Lingga Bayu"
DP|"12.13.15","Batahan"
EP|"12.13.16","Natal"
FP|"12.13.17","Muara Batang Gadis"
GP|"12.13.18","Ranto Baek"
HP|"12.13.19","Huta Bargot"
FQ|"12.13.20","Puncak Sorik Marapi"
GQ|"12.13.21","Pakantan"
HQ|"12.13.22","Sinunukan"
IQ|"12.13.23","Naga Juang"
XR|"12.14.01","Lolomatua"
YR|"12.14.02","Gomo"
ZR|"12.14.03","Lahusa"
AS|"12.14.04","Hibala"
BS|"12.14.05","Pulau-Pulau Batu"
CS|"12.14.06","Teluk Dalam"
DS|"12.14.07","Amandraya"
ES|"12.14.08","Lolowau"
FS|"12.14.09","Susua"
DT|"12.14.10","Maniamolo"
ET|"12.14.11","Hilimegai"
FT|"12.14.12","Toma"
GT|"12.14.13","Mazino"
HT|"12.14.14","Umbunasi"
IT|"12.14.15","Aramo"
JT|"12.14.16","Pulau-Pulau Batu Timur"
KT|"12.14.17","Mazo"
LT|"12.14.18","Fanayama"
MT|"12.14.19","Ulunoyo"
KU|"12.14.20","Huruna"
LU|"12.14.21","O'o'u"
MU|"12.14.22","Onohazumba"
NU|"12.14.23","Hilisalawa'ahe"
OU|"12.14.24","Ulususua"
PU|"12.14.25","Sidua'ori"
QU|"12.14.26","Somambawa"
RU|"12.14.27","Boronadu"
SU|"12.14.28","Simuk"
TU|"12.14.29","Pulau-Pulau Batu Barat"
RV|"12.14.30","Pulau-Pulau Batu Utara"
SV|"12.14.31","Tanah Masa"
TV|"12.14.32","Luahagundre Maniamolo"
UV|"12.14.33","Onolalu"
VV|"12.14.34","Ulu Idanotae"
WV|"12.14.35","Idanotae"
CW|"12.15.01","Sitelu Tali Urang Jehe"
DW|"12.15.02","Kerajaan"
EW|"12.15.03","Salak"
FW|"12.15.04","Sitelu Tali Urang Julu"
GW|"12.15.05","Pergetteng Getteng Sengkut"
HW|"12.15.06","Pagindar"
IW|"12.15.07","Tinada"
JW|"12.15.08","Siempat Rube"
HA|"12.16.01","Parlilitan"
IA|"12.16.02","Pollung"
JA|"12.16.03","Baktiraja"
KA|"12.16.04","Paranginan"
LA|"12.16.05","Lintong Nihuta"
MA|"12.16.06","Dolok Sanggul"
NA|"12.16.07","Sijamapolang"
OA|"12.16.08","Onan Ganjang"
PA|"12.16.09","Pakkat"
NB|"12.16.10","Tarabintang"
ME|"12.17.01","Simanindo"
NE|"12.17.02","Onan Runggu"
OE|"12.17.03","Nainggolan"
PE|"12.17.04","Palipi"
QE|"12.17.05","Harian"
RE|"12.17.06","Sianjar Mula Mula"
SE|"12.17.07","Ronggur Nihuta"
TE|"12.17.08","Pangururan"
UE|"12.17.09","Sitio-tio"
RI|"12.18.01","Pantai Cermin"
SI|"12.18.02","Perbaungan"
TI|"12.18.03","Teluk Mengkudu"
UI|"12.18.04","Sei Rampah"
VI|"12.18.05","Tanjung Beringin"
WI|"12.18.06","Bandar Khalipah"
XI|"12.18.07","Dolok Merawan"
YI|"12.18.08","Sipispis"
ZI|"12.18.09","Dolok Masihul"
XJ|"12.18.10","Kotarih"
YJ|"12.18.11","Silinda"
ZJ|"12.18.12","Serba Jadi"
AK|"12.18.13","Tebing Tinggi"
BK|"12.18.14","Pegajahan"
CK|"12.18.15","Sei Bamban"
DK|"12.18.16","Tebing Syahbandar"
EK|"12.18.17","Bintang Bayu"
WM|"12.19.01","Medang Deras"
XM|"12.19.02","Sei Suka"
YM|"12.19.03","Air Putih"
ZM|"12.19.04","Lima Puluh"
AN|"12.19.05","Talawi"
BN|"12.19.06","Tanjung Tiram"
CN|"12.19.07","Sei Balai"
DN|"12.19.08","Laut Tador"
EN|"12.19.09","Lima Puluh Pesisir"
CO|"12.19.10","Datuk Lima Puluh"
DO|"12.19.11","Datuk Tanah Datar"
EO|"12.19.12","Nibung Hangus"
MJ|"12.20.01","Dolok Sigompulon"
NJ|"12.20.02","Dolok"
OJ|"12.20.03","Halongonan"
PJ|"12.20.04","Padang Bolak"
QJ|"12.20.05","Padang Bolak Julu"
RJ|"12.20.06","Portibi"
SJ|"12.20.07","Batang Onang"
TJ|"12.20.08","Simangambat"
UJ|"12.20.09","Hulu Sihapas"
SK|"12.20.10","Padang Bolak Tenggara"
TK|"12.20.11","Halongonan Timur"
UK|"12.20.12","Ujung Batu"
RN|"12.21.01","Sosopan"
SN|"12.21.02","Barumun Tengah"
TN|"12.21.03","Huristak"
UN|"12.21.04","Lubuk Barumun"
VN|"12.21.05","Hutaraja Tinggi"
WN|"12.21.06","Ulu Barumun"
XN|"12.21.07","Barumun"
YN|"12.21.08","Sosa"
ZN|"12.21.09","Batang Lubu Sutam"
XO|"12.21.10","Barumun Selatan"
YO|"12.21.11","Aek Nabara Barumun"
ZO|"12.21.12","Sihapas Barumun"
AP|"12.21.13","Barumun Baru"
BP|"12.21.14","Ulu Sosa"
CP|"12.21.15","Sosa Julu"
DP|"12.21.16","Barumun Barat"
EP|"12.21.17","Sosa Timur"
WR|"12.22.01","Kotapinang"
XR|"12.22.02","Kampung Rakyat"
YR|"12.22.03","Torgamba"
ZR|"12.22.04","Sungai Kanan"
AS|"12.22.05","Silangkitang"
BW|"12.23.01","Kualuh Hulu"
CW|"12.23.02","Kualuh Leidong"
DW|"12.23.03","Kualuh Hilir"
EW|"12.23.04","Aek Kuo"
FW|"12.23.05","Marbau"
GW|"12.23.06","Na IX-X"
HW|"12.23.07","Aek Natas"
IW|"12.23.08","Kualuh Selatan"
GA|"12.24.01","Lotu"
HA|"12.24.02","Sawo"
IA|"12.24.03","Tuhemberua"
JA|"12.24.04","Sitolu Ori"
KA|"12.24.05","Namohalu Esiwa"
LA|"12.24.06","Alasa Talumuzoi"
MA|"12.24.07","Alasa"
NA|"12.24.08","Tugala Oyo"
OA|"12.24.09","Afulu"
MB|"12.24.10","Lahewa"
NB|"12.24.11","Lahewa Timur"
LE|"12.25.01","Lahomi"
ME|"12.25.02","Sirombu"
NE|"12.25.03","Mandrehe Barat"
OE|"12.25.04","Moro'o"
PE|"12.25.05","Mandrehe"
QE|"12.25.06","Mandrehe Utara"
RE|"12.25.07","Lolofitu Moi"
SE|"12.25.08","Ulu Moro'o"
KD|"12.71.01","Medan Kota"
LD|"12.71.02","Medan Sunggal"
MD|"12.71.03","Medan Helvetia"
ND|"12.71.04","Medan Denai"
OD|"12.71.05","Medan Barat"
PD|"12.71.06","Medan Deli"
QD|"12.71.07","Medan Tuntungan"
RD|"12.71.08","Medan Belawan"
SD|"12.71.09","Medan Amplas"
QE|"12.71.10","Medan Area"
RE|"12.71.11","Medan Johor"
SE|"12.71.12","Medan Marelan"
TE|"12.71.13","Medan Labuhan"
UE|"12.71.14","Medan Tembung"
VE|"12.71.15","Medan Maimun"
WE|"12.71.16","Medan Polonia"
XE|"12.71.17","Medan Baru"
YE|"12.71.18","Medan Perjuangan"
ZE|"12.71.19","Medan Petisah"
XF|"12.71.20","Medan Timur"
YF|"12.71.21","Medan Selayang"
PH|"12.72.01","Siantar Timur"
QH|"12.72.02","Siantar Barat"
RH|"12.72.03","Siantar Utara"
SH|"12.72.04","Siantar Selatan"
TH|"12.72.05","Siantar Marihat"
UH|"12.72.06","Siantar Martoba"
VH|"12.72.07","Siantar Sitalasari"
WH|"12.72.08","Siantar Marimbun"
UL|"12.73.01","Sibolga Utara"
VL|"12.73.02","Sibolga Kota"
WL|"12.73.03","Sibolga Selatan"
XL|"12.73.04","Sibolga Sambas"
ZP|"12.74.01","Tanjungbalai Selatan"
AQ|"12.74.02","Tanjungbalai Utara"
BQ|"12.74.03","Sei Tualang Raso"
CQ|"12.74.04","Teluk Nibung"
DQ|"12.74.05","Datuk Bandar"
EQ|"12.74.06","Datuk Bandar Timur"
EU|"12.75.01","Binjai Utara"
FU|"12.75.02","Binjai Kota"
GU|"12.75.03","Binjai Barat"
HU|"12.75.04","Binjai Timur"
IU|"12.75.05","Binjai Selatan"
JY|"12.76.01","Padang Hulu"
KY|"12.76.02","Rambutan"
LY|"12.76.03","Padang Hilir"
MY|"12.76.04","Bajenis"
NY|"12.76.05","Tebing Tinggi Kota"
OC|"12.77.01","Padangsidimpuan Utara"
PC|"12.77.02","Padangsidimpuan Selatan"
